index,phu_id,age_group,age_group_count
278,4913,50s,25
279,4913,60s,12
280,4913,70s,14
281,4913,80s,8
282,4913,90+,7
283,5183,<20,1
284,5183,20s,10
285,5183,30s,10
286,5183,40s,7
287,5183,50s,6
288,5183,60s,3
289,5183,70s,4
290,5183,80s,17
291,5183,90+,12
